"Time","sensor-readings.difference"
1675315800000,0
1675316700000,0
1675317600000,0
1675318500000,0
1675319400000,0
1675320300000,0
1675321200000,0
1675322100000,0
1675323000000,0
1675323900000,0
1675324800000,0
1675325700000,0
1675326600000,0
1675327500000,0
1675328400000,0
1675329300000,9.701171875
1675330200000,0
1675331100000,0
1675332000000,0
1675332900000,0
1675333800000,0
1675334700000,0
1675335600000,0
1675336500000,0
1675337400000,0
1675338300000,0
1675339200000,0
1675340100000,0
1675341000000,0
1675341900000,6
1675342800000,0
1675343700000,0
1675344600000,0
1675345500000,0
1675346400000,0
1675347300000,0
1675348200000,0
1675349100000,0
1675350000000,0
1675350900000,0
1675351800000,0
1675352700000,0
1675353600000,0
1675354500000,0
1675355400000,0
1675356300000,0
1675357200000,0
1675358100000,0
1675359000000,0
1675359900000,0
1675360800000,0
1675361700000,0
1675362600000,0
1675363500000,0
1675364400000,0
1675365300000,0
1675366200000,0
1675367100000,0
1675368000000,0
1675368900000,0
1675369800000,0
1675370700000,0
1675371600000,0
1675372500000,0
1675373400000,0
1675374300000,0
1675375200000,0
1675376100000,0
1675377000000,0
1675377900000,0
1675378800000,0
1675379700000,0
1675380600000,0
1675381500000,0
1675382400000,0
1675383300000,0
1675384200000,15.400390625
1675385100000,0
1675386000000,0
1675386900000,0
1675387800000,0
1675388700000,0
1675389600000,0
1675390500000,0
1675391400000,0
1675392300000,0
1675393200000,3.5
1675394100000,0
1675395000000,0
1675395900000,0
1675396800000,0
1675397700000,0
1675398600000,0
1675399500000,0
1675400400000,0
1675401300000,3.3984375
1675402200000,0
1675403100000,1.201171875
1675404000000,0
1675404900000,0
1675405800000,0
1675406700000,0
1675407600000,0
1675408500000,0
1675409400000,0
1675410300000,0
1675411200000,0
1675412100000,0
1675413000000,0
1675413900000,0
1675414800000,0
1675415700000,0
1675416600000,0
1675417500000,0
1675418400000,0
1675419300000,0
1675420200000,0
1675421100000,0
1675422000000,0
1675422900000,0
1675423800000,0
1675424700000,0
1675425600000,0
1675426500000,0
1675427400000,0
1675428300000,0
1675429200000,0
1675430100000,0
1675431000000,0
1675431900000,0
1675432800000,0
1675433700000,0
1675434600000,0
1675435500000,0
1675436400000,0
1675437300000,0
1675438200000,0
1675439100000,0
1675440000000,0
1675440900000,0
1675441800000,0
1675442700000,0
1675443600000,0
1675444500000,0
1675445400000,0
1675446300000,0
1675447200000,0
1675448100000,0
1675449000000,0
1675449900000,0
1675450800000,0
1675451700000,0
1675452600000,0
1675453500000,0
1675454400000,0
1675455300000,0
1675456200000,0
1675457100000,0
1675458000000,0
1675458900000,0
1675459800000,0
1675460700000,0
1675461600000,0
1675462500000,0
1675463400000,0
1675464300000,23.599609375
1675465200000,0
1675466100000,0
1675467000000,0
1675467900000,0
1675468800000,0
1675469700000,0
1675470600000,0
1675471500000,0
1675472400000,0
1675473300000,0
1675474200000,0
1675475100000,0
1675476000000,0
1675476900000,0
1675477800000,0
1675478700000,0
1675479600000,0
1675480500000,0
1675481400000,0
1675482300000,0
1675483200000,0
1675484100000,0
1675485000000,0
1675485900000,0
1675486800000,0
1675487700000,0
1675488600000,0
1675489500000,0
1675490400000,0
1675491300000,8.80078125
1675492200000,0
