"Time","reading"
1651532400000,174
1651536000000,172
1651539600000,167
1651543200000,171
1651546800000,172
1651550400000,167
1651554000000,145
1651557600000,182
1651561200000,240
1651564800000,337
1651568400000,403
1651572000000,370
1651575600000,390
1651579200000,432
1651582800000,514
1651586400000,514
1651590000000,283
1651593600000,88
1651597200000,85
1651600800000,70
1651604400000,64
1651608000000,65
1651611600000,59
1651615200000,59
1651618800000,62
1651622400000,61
1651626000000,58
1651629600000,57
1651633200000,56
1651636800000,59
1651640400000,68
1651644000000,99
1651647600000,145
1651651200000,225
1651654800000,230
1651658400000,231
1651662000000,281
1651665600000,293
1651669200000,368
1651672800000,390
1651676400000,336
1651680000000,206
1651683600000,192
1651687200000,178
1651690800000,182
1651694400000,180
1651698000000,178
1651701600000,175
1651705200000,188
1651708800000,172
1651712400000,180
1651716000000,175
1651719600000,172
1651723200000,170
1651726800000,181
1651730400000,216
1651734000000,261
1651737600000,396
1651741200000,488
1651744800000,478
1651748400000,453
1651752000000,529
1651755600000,491
1651759200000,489
1651762800000,302
1651766400000,168
1651770000000,141
1651773600000,81
1651777200000,70
1651780800000,72
1651784400000,68
1651788000000,66
1651791600000,73
1651795200000,65
1651798800000,69
1651802400000,68
1651806000000,64
1651809600000,67
1651813200000,81
1651816800000,131
1651820400000,157
1651824000000,241
1651827600000,296
1651831200000,301
1651834800000,290
1651838400000,262
1651842000000,204
1651845600000,163
1651849200000,153
1651852800000,91
1651856400000,63
1651860000000,68
1651863600000,59
1651867200000,55
1651870800000,61
1651874400000,55
1651878000000,55
1651881600000,59
1651885200000,55
1651888800000,52
1651892400000,54
1651896000000,58
1651899600000,57
1651903200000,54
1651906800000,55
1651910400000,55
1651914000000,59
1651917600000,56
1651921200000,62
1651924800000,56
1651928400000,62
1651932000000,56
1651935600000,57
1651939200000,62
1651942800000,58
1651946400000,56
1651950000000,62
1651953600000,55
1651957200000,60
1651960800000,56
1651964400000,59
1651968000000,58
1651971600000,57
1651975200000,54
1651978800000,57
1651982400000,58
1651986000000,58
1651989600000,55
1651993200000,56
1651996800000,60
1652000400000,60
1652004000000,59
1652007600000,64
1652011200000,61
1652014800000,66
1652018400000,58
1652022000000,57
1652025600000,63
1652029200000,57
1652032800000,59
1652036400000,62
1652040000000,56
1652043600000,56
1652047200000,60
1652050800000,59
1652054400000,54
