time,energy,glob_irrad_in_diffuse,glob_irrad_total_disc,dew_point,enth,rel_hum,temp,lab_P051_binary,lab_P015_binary,lab_P011_binary,WorkDay,day_of_week,month,year,hour,day,day_of_year,day_of_week_sin,day_of_week_cos,hour_sin,hour_cos,month_sin,month_cos
2022-04-22 16:00:00,2012.0,20.556944959349593,21.61455472727273,6.6775,25.72,80.05782202947643,9.1,0.0,0.0,0.0,0,4,4,2022,16,22,112,-0.433883739117558,-0.9009688679024191,-0.8660254037844385,-0.5000000000000004,0.8660254037844387,-0.4999999999999998
2022-04-22 17:00:00,1818.0,13.200732464788732,16.76170611111111,6.775,25.5,80.65597269624574,9.899999999999999,0.0,0.0,0.0,0,4,4,2022,17,22,112,-0.433883739117558,-0.9009688679024191,-0.9659258262890683,-0.25881904510252063,0.8660254037844387,-0.4999999999999998
2022-04-22 18:00:00,1862.0,7.142961153846154,6.685753999999999,7.133333333333334,26.0,81.0655290102389,10.164285714285715,0.0,0.0,0.0,0,4,4,2022,18,22,112,-0.433883739117558,-0.9009688679024191,-1.0,-1.8369701987210297e-16,0.8660254037844387,-0.4999999999999998
2022-04-22 19:00:00,1627.0,6.875805,6.3777360000000005,7.140000000000001,25.6,81.4750853242321,9.9625,0.0,0.0,0.0,0,4,4,2022,19,22,112,-0.433883739117558,-0.9009688679024191,-0.9659258262890684,0.2588190451025203,0.8660254037844387,-0.4999999999999998
2022-04-22 20:00:00,1794.0,6.8876332499999995,6.34209,5.671428571428572,23.0,81.88464163822526,8.666666666666666,0.0,0.0,0.0,0,4,4,2022,20,22,112,-0.433883739117558,-0.9009688679024191,-0.8660254037844386,0.5000000000000001,0.8660254037844387,-0.4999999999999998
2022-04-22 21:00:00,1778.0,6.899461499999999,6.314098749999999,5.485714285714286,23.47222222222222,82.2896993682376,8.283333333333333,0.0,0.0,0.0,0,4,4,2022,21,22,112,-0.433883739117558,-0.9009688679024191,-0.7071067811865477,0.7071067811865474,0.8660254037844387,-0.4999999999999998
2022-04-22 22:00:00,1537.0,6.91128975,6.2861075,5.3,23.944444444444446,82.58936170212766,7.9,0.0,0.0,0.0,0,4,4,2022,22,22,112,-0.433883739117558,-0.9009688679024191,-0.5000000000000004,0.8660254037844384,0.8660254037844387,-0.4999999999999998
2022-04-22 23:00:00,1561.0,6.923118,6.2581162500000005,6.5,24.416666666666668,82.84468085106384,9.18,0.0,0.0,0.0,0,4,4,2022,23,22,112,-0.433883739117558,-0.9009688679024191,-0.25881904510252157,0.9659258262890681,0.8660254037844387,-0.4999999999999998
2022-04-23 00:00:00,1702.0,6.935917555555555,6.230125,6.666666666666667,24.866666666666664,83.1,9.333333333333334,0.0,0.0,0.0,0,5,4,2022,0,23,113,-0.9749279121818236,-0.2225209339563146,0.0,1.0,0.8660254037844387,-0.4999999999999998
2022-04-23 01:00:00,1561.0,6.94871711111111,6.20213375,6.545454545454546,24.7,83.35531914893618,9.2,0.0,0.0,0.0,0,5,4,2022,1,23,113,-0.9749279121818236,-0.2225209339563146,0.25881904510252074,0.9659258262890683,0.8660254037844387,-0.4999999999999998
2022-04-23 02:00:00,1647.0,6.9615166666666655,6.1741425,6.122222222222223,24.020000000000003,83.61063829787234,8.84,0.0,0.0,0.0,0,5,4,2022,2,23,113,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,0.8660254037844387,-0.4999999999999998
2022-04-23 03:00:00,1579.0,6.80380625,6.0953100000000004,5.55,22.6,83.86595744680852,8.528571428571428,0.0,0.0,0.0,0,5,4,2022,3,23,113,-0.9749279121818236,-0.2225209339563146,0.7071067811865476,0.7071067811865476,0.8660254037844387,-0.4999999999999998
2022-04-23 04:00:00,1741.0,7.673632855769231,6.5922977777777785,5.8375,23.35,84.12127659574467,7.3,0.0,0.0,0.0,0,5,4,2022,4,23,113,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001,0.8660254037844387,-0.4999999999999998
2022-04-23 05:00:00,1482.0,8.543459461538463,7.089285555555556,6.125,24.100000000000005,84.32367357931592,8.45,0.0,0.0,0.0,0,5,4,2022,5,23,113,-0.9749279121818236,-0.2225209339563146,0.9659258262890683,0.25881904510252074,0.8660254037844387,-0.4999999999999998
2022-04-23 06:00:00,1576.0,34.310310344827585,32.43693043956044,6.6875,24.2,84.05506329113925,8.899999999999999,0.0,0.0,0.0,0,5,4,2022,6,23,113,-0.9749279121818236,-0.2225209339563146,1.0,6.123233995736766e-17,0.8660254037844387,-0.4999999999999998
2022-04-23 07:00:00,1652.0,66.00830865203763,70.03555906666666,7.185714285714285,26.7,83.6753164556962,9.68888888888889,0.0,0.0,0.0,0,5,4,2022,7,23,113,-0.9749279121818236,-0.2225209339563146,0.9659258262890683,-0.25881904510252063,0.8660254037844387,-0.4999999999999998
2022-04-23 08:00:00,1522.0,107.27240099999999,107.20806699481865,7.8,26.314285714285713,83.29556962025318,10.299999999999999,0.0,0.0,0.0,0,5,4,2022,8,23,113,-0.9749279121818236,-0.2225209339563146,0.8660254037844387,-0.4999999999999998,0.8660254037844387,-0.4999999999999998
2022-04-23 09:00:00,1635.0,162.94687262195123,170.7004375132275,8.899999999999999,29.3,82.91582278481013,11.254545454545454,0.0,0.0,0.0,0,5,4,2022,9,23,113,-0.9749279121818236,-0.2225209339563146,0.7071067811865476,-0.7071067811865475,0.8660254037844387,-0.4999999999999998
2022-04-23 10:00:00,1526.0,254.66368220297028,263.00861282685514,9.78,31.8,82.51487341772152,12.55,0.0,0.0,0.0,0,5,4,2022,10,23,113,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,-0.8660254037844387,0.8660254037844387,-0.4999999999999998
2022-04-23 11:00:00,1583.0,136.36720475675676,148.54858816326532,8.925,29.3,80.86027131782947,11.75,0.0,0.0,0.0,0,5,4,2022,11,23,113,-0.9749279121818236,-0.2225209339563146,0.258819045102521,-0.9659258262890682,0.8660254037844387,-0.4999999999999998
2022-04-23 12:00:00,1525.0,147.2644448849105,151.68020349753695,8.783333333333333,29.633333333333336,79.22558139534884,12.2125,0.0,0.0,0.0,0,5,4,2022,12,23,113,-0.9749279121818236,-0.2225209339563146,1.2246467991473532e-16,-1.0,0.8660254037844387,-0.4999999999999998
2022-04-23 13:00:00,1661.0,176.35495188372093,195.89605241157557,8.914285714285715,30.942857142857143,77.89018895348838,12.844444444444443,0.0,0.0,0.0,0,5,4,2022,13,23,113,-0.9749279121818236,-0.2225209339563146,-0.2588190451025208,-0.9659258262890683,0.8660254037844387,-0.4999999999999998
2022-04-23 14:00:00,1500.0,156.39187406320542,165.18726177165354,9.4,31.8,76.63832003546099,13.34,0.0,0.0,0.0,0,5,4,2022,14,23,113,-0.9749279121818236,-0.2225209339563146,-0.4999999999999997,-0.8660254037844388,0.8660254037844387,-0.4999999999999998
2022-04-23 15:00:00,1641.0,121.7644609090909,125.28591807086613,8.899999999999999,31.05,75.36808510638298,13.475,0.0,0.0,0.0,0,5,4,2022,15,23,113,-0.9749279121818236,-0.2225209339563146,-0.7071067811865471,-0.7071067811865479,0.8660254037844387,-0.4999999999999998
2022-04-23 16:00:00,1511.0,84.72945507352941,82.34000238095238,8.55,30.3,74.5384834240475,12.799999999999999,0.0,0.0,0.0,0,5,4,2022,16,23,113,-0.9749279121818236,-0.2225209339563146,-0.8660254037844385,-0.5000000000000004,0.8660254037844387,-0.4999999999999998
2022-04-23 17:00:00,1710.0,77.38130806748467,75.4535012745098,7.7,28.8,74.83313953488373,12.1,0.0,0.0,0.0,0,5,4,2022,17,23,113,-0.9749279121818236,-0.2225209339563146,-0.9659258262890683,-0.25881904510252063,0.8660254037844387,-0.4999999999999998
2022-04-23 18:00:00,1499.0,24.602211857142855,25.31918646017699,7.15,27.8,75.18197674418606,11.65,0.0,0.0,0.0,0,5,4,2022,18,23,113,-0.9749279121818236,-0.2225209339563146,-1.0,-1.8369701987210297e-16,0.8660254037844387,-0.4999999999999998
2022-04-23 19:00:00,1562.0,22.92889214968944,6.634827464788733,6.775,26.8,75.53081395348838,11.325,0.0,0.0,0.0,0,5,4,2022,19,23,113,-0.9749279121818236,-0.2225209339563146,-0.9659258262890684,0.2588190451025203,0.8660254037844387,-0.4999999999999998
2022-04-23 20:00:00,1605.0,21.255572442236023,6.5927871428571425,6.4,25.8,75.8796511627907,11.0,0.0,0.0,0.0,0,5,4,2022,20,23,113,-0.9749279121818236,-0.2225209339563146,-0.8660254037844386,0.5000000000000001,0.8660254037844387,-0.4999999999999998
2022-04-23 21:00:00,1584.0,19.582252734782607,6.581035714285714,5.65,24.3,76.22848837209304,9.799999999999999,0.0,0.0,0.0,0,5,4,2022,21,23,113,-0.9749279121818236,-0.2225209339563146,-0.7071067811865477,0.7071067811865474,0.8660254037844387,-0.4999999999999998
2022-04-23 22:00:00,1643.0,17.90893302732919,6.569284285714286,5.65,22.8,77.1093023255814,9.466666666666667,0.0,0.0,0.0,0,5,4,2022,22,23,113,-0.9749279121818236,-0.2225209339563146,-0.5000000000000004,0.8660254037844384,0.8660254037844387,-0.4999999999999998
2022-04-23 23:00:00,1527.0,16.235613319875775,6.557532857142856,5.766666666666667,23.8,78.50200035641095,9.266666666666666,0.0,0.0,0.0,0,5,4,2022,23,23,113,-0.9749279121818236,-0.2225209339563146,-0.25881904510252157,0.9659258262890681,0.8660254037844387,-0.4999999999999998
2022-04-24 00:00:00,1680.0,14.562293612422359,6.545781428571428,5.6499999999999995,23.3,79.8800766283525,8.725,0.0,0.0,0.0,0,6,4,2022,0,24,114,-0.7818314824680299,0.6234898018587334,0.0,1.0,0.8660254037844387,-0.4999999999999998
2022-04-24 01:00:00,1532.0,12.888973904968942,6.53403,5.766666666666667,23.4,81.04655172413794,8.725,0.0,0.0,0.0,0,6,4,2022,1,24,114,-0.7818314824680299,0.6234898018587334,0.25881904510252074,0.9659258262890683,0.8660254037844387,-0.4999999999999998
2022-04-24 02:00:00,1666.0,11.215654197515526,6.58887,5.65,23.65,82.0826297131808,8.52,0.0,0.0,0.0,0,6,4,2022,2,24,114,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,0.8660254037844387,-0.4999999999999998
2022-04-24 03:00:00,1506.0,9.54233449006211,6.0953100000000004,6.0,23.9,83.17570093457945,8.7,0.0,0.0,0.0,0,6,4,2022,3,24,114,-0.7818314824680299,0.6234898018587334,0.7071067811865476,0.7071067811865476,0.8660254037844387,-0.4999999999999998
2022-04-24 04:00:00,1658.0,7.869014782608695,8.631665,7.1499999999999995,25.7,84.16628513423642,9.64,0.0,0.0,0.0,0,6,4,2022,4,24,114,-0.7818314824680299,0.6234898018587334,0.8660254037844386,0.5000000000000001,0.8660254037844387,-0.4999999999999998
