time,energy,dew_point,enth,rel_hum,temp,lab_P051_binary,lab_P015_binary,lab_P011_binary,lab_251102_binary,WorkDay,day_of_week,month,year,hour,day,day_of_year,day_of_week_sin,day_of_week_cos,hour_sin,hour_cos,month_sin,month_cos
2022-11-09 21:00:00,4707.0,6.02767205897075,29.517971825986635,76.93022222222223,13.039443116804229,1.0,0.0,0.0,1.0,1,2,11,2022,21,9,313,0.9749279121818236,-0.22252093395631434,-0.7071067811865477,0.7071067811865474,-0.5000000000000004,0.8660254037844384
2022-11-09 22:00:00,4680.0,6.02767205897075,29.517971825986635,78.10355555555557,13.039443116804229,0.0,0.0,0.0,1.0,1,2,11,2022,22,9,313,0.9749279121818236,-0.22252093395631434,-0.5000000000000004,0.8660254037844384,-0.5000000000000004,0.8660254037844384
2022-11-09 23:00:00,4684.0,6.02767205897075,29.517971825986635,79.27688888888889,13.039443116804229,0.0,0.0,0.0,1.0,1,2,11,2022,23,9,313,0.9749279121818236,-0.22252093395631434,-0.25881904510252157,0.9659258262890681,-0.5000000000000004,0.8660254037844384
2022-11-10 00:00:00,4707.0,6.02767205897075,29.517971825986635,80.45022222222222,13.039443116804229,0.0,0.0,0.0,1.0,1,3,11,2022,0,10,314,0.43388373911755823,-0.900968867902419,0.0,1.0,-0.5000000000000004,0.8660254037844384
2022-11-10 01:00:00,3495.0,6.02767205897075,29.517971825986635,81.62355555555557,13.039443116804229,0.0,0.0,0.0,1.0,1,3,11,2022,1,10,314,0.43388373911755823,-0.900968867902419,0.25881904510252074,0.9659258262890683,-0.5000000000000004,0.8660254037844384
2022-11-10 02:00:00,1565.0,6.02767205897075,29.517971825986635,82.79688888888889,13.039443116804229,0.0,0.0,0.0,0.0,1,3,11,2022,2,10,314,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,-0.5000000000000004,0.8660254037844384
2022-11-10 03:00:00,1506.0,6.02767205897075,29.517971825986635,83.97022222222223,13.039443116804229,0.0,0.0,0.0,0.0,1,3,11,2022,3,10,314,0.43388373911755823,-0.900968867902419,0.7071067811865476,0.7071067811865476,-0.5000000000000004,0.8660254037844384
2022-11-10 04:00:00,1584.0,6.02767205897075,29.517971825986635,85.14355555555557,13.039443116804229,0.0,0.0,0.0,0.0,1,3,11,2022,4,10,314,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,-0.5000000000000004,0.8660254037844384
2022-11-10 05:00:00,1566.0,6.02767205897075,29.517971825986635,86.31688888888888,13.039443116804229,0.0,0.0,0.0,0.0,1,3,11,2022,5,10,314,0.43388373911755823,-0.900968867902419,0.9659258262890683,0.25881904510252074,-0.5000000000000004,0.8660254037844384
2022-11-10 06:00:00,1654.0,6.02767205897075,29.517971825986635,87.49022222222223,13.039443116804229,0.0,0.0,0.0,0.0,1,3,11,2022,6,10,314,0.43388373911755823,-0.900968867902419,1.0,6.123233995736766e-17,-0.5000000000000004,0.8660254037844384
